# spectral number density of the Corona photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
7.762471166282768000e+15,2.212998315298236370e+09
7.943282347238565000e+15,5.042238170823117256e+09
8.128305161636640000e+15,7.499772738154668808e+09
8.317637711022252000e+15,9.611123834489418030e+09
8.511380382019199000e+15,1.140166313851975250e+10
8.709635899556130000e+15,1.289644616098061180e+10
8.912509381332665000e+15,1.412005690037067223e+10
9.120108393554192000e+15,1.509646454849955559e+10
9.332543007964886000e+15,1.584889343804043579e+10
9.549925860209212000e+15,1.639970722603477478e+10
9.772372209552836000e+15,1.677030808797404099e+10
9.999999999994600000e+15,1.698105146198799133e+10
1.023292992280197000e+16,1.705117663760884476e+10
1.047128548050333200e+16,1.699875323466377449e+10
1.071519305237030800e+16,1.684064337130377769e+10
1.096478196142590800e+16,1.659247908214455986e+10
1.122018454301350400e+16,1.626865432382228279e+10
1.148153621496259400e+16,1.588233070133027649e+10
1.174897554938896000e+16,1.544545586901198578e+10
1.202264434616759000e+16,1.496879340895088387e+10
1.230268770811706800e+16,1.446196286970464516e+10
1.258925411793481400e+16,1.393348856184184647e+10
1.288249551692436800e+16,1.339085565446230125e+10
1.318256738555687600e+16,1.284057209866070366e+10
1.348962882590911200e+16,1.228823491854101372e+10
1.380384264602130000e+16,1.173859945575450325e+10
1.412537544621987000e+16,1.119565022662712669e+10
1.445439770745135800e+16,1.066267214806248283e+10
1.479108388167390400e+16,1.014232100531222725e+10
1.513561248435377600e+16,9.636692166781444550e+09
1.548816618911637000e+16,9.147386693493736267e+09
1.584893192460242200e+16,8.675574138899213791e+09
1.621810097358031000e+16,8.222051483765607834e+09
1.659586907436646600e+16,7.787297796684396744e+09
1.698243652460815200e+16,7.371524349463134766e+09
1.737800828748416800e+16,6.974720045159252167e+09
1.778279410037933600e+16,6.596692132187825203e+09
1.819700858608977600e+16,6.237102278946616173e+09
1.862087136661845200e+16,5.895498168591090202e+09
1.905460717962192400e+16,5.571340842482337952e+09
1.949844599756956800e+16,5.264028073565146446e+09
1.995262314967772800e+16,4.972914088200163841e+09
2.041737944668404400e+16,4.697325977919825554e+09
2.089296130852878800e+16,4.436577152701406479e+09
2.137962089501034400e+16,4.189978186393133163e+09
2.187761623948334800e+16,3.956845394768694878e+09
2.238721138567101600e+16,3.736507469240887642e+09
2.290867652766495600e+16,3.528310466409782887e+09
2.344228815318604400e+16,3.331621427105742455e+09
2.398832919018150400e+16,3.145830869986926556e+09
2.454708915683668000e+16,2.970354375427011967e+09
2.511886431508174800e+16,2.804633446508469582e+09
2.570395782767413600e+16,2.648135806303824902e+09
2.630267991893907600e+16,2.500355264930615425e+09
2.691534803925416800e+16,2.360811266538485050e+09
2.754228703336620000e+16,2.229048205671566486e+09
2.818382931262858400e+16,2.104634584426733017e+09
2.884031503124983600e+16,1.987162066449693918e+09
2.951209226664736400e+16,1.876244470931908131e+09
3.019951720400314400e+16,1.771516739182036161e+09
3.090295432511835200e+16,1.672633897794651508e+09
3.162277660166594400e+16,1.579270035657114983e+09
3.235936569294467600e+16,1.491117306754305124e+09
3.311311214824038800e+16,1.407884966695391655e+09
3.388441561390094000e+16,1.329298447863261938e+09
3.467368504523352400e+16,1.255098475868641853e+09
3.548133892333757600e+16,1.185040228400519371e+09
3.630780547698953600e+16,1.118892536454749346e+09
3.715352290969600000e+16,1.056437127173264384e+09
3.801893963203451200e+16,9.974679070409888029e+08
3.890451449940608800e+16,9.417902838921345472e+08
3.981071705532705600e+16,8.892205260158152580e+08
4.073802778038788800e+16,8.395851565808938742e+08
4.168693834700976800e+16,7.927203815905984640e+08
4.265795188013508800e+16,7.484715496071910858e+08
4.365158322399165600e+16,7.066926415409168005e+08
4.466835921507058400e+16,6.672457888653466702e+08
4.570881896146134400e+16,6.300008186958191395e+08
4.677351412869321600e+16,5.948348242448567152e+08
4.786300923223639200e+16,5.616317592454925776e+08
4.897788193681632000e+16,5.302820550088538527e+08
5.011872336269844800e+16,5.006822588548454642e+08
