# spectral number density of the DustTorus photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
1.412537544622674584e+06,1.006467571370728302e+10
1.445439770745845279e+06,1.029911208675771332e+10
1.479108388168122387e+06,1.053900918251983261e+10
1.513561248436120572e+06,1.078449419747528648e+10
1.548816618912390899e+06,1.103569729088815689e+10
1.584893192461020080e+06,1.129275165381680298e+10
1.621810097358833766e+06,1.155579357973320007e+10
1.659586907437461196e+06,1.182496253678722954e+10
1.698243652461641934e+06,1.210040124175420761e+10
1.737800828749269713e+06,1.238225573570483208e+10
1.778279410038813716e+06,1.267067546143769836e+10
1.819700858609871008e+06,1.296581334271552658e+10
1.862087136662751436e+06,1.326782586534688187e+10
1.905460717963127419e+06,1.357687316015661430e+10
1.949844599757921882e+06,1.389311908788891602e+10
1.995262314968752209e+06,1.421673132608793068e+10
2.041737944669398014e+06,1.454788145800220299e+10
2.089296130853904178e+06,1.488674506355976677e+10
2.137962089502092451e+06,1.523350181246247482e+10
2.187761623949408531e+06,1.558833555944866753e+10
2.238721138568191323e+06,1.595143444177479362e+10
2.290867652767620049e+06,1.632299097896764565e+10
2.344228815319764428e+06,1.670320217490013885e+10
2.398832919019327965e+06,1.709226962224463272e+10
2.454708915684862994e+06,1.749039960935940170e+10
2.511886431509407703e+06,1.789780322966462326e+10
2.570395782768685836e+06,1.831469649356618881e+10
2.630267991895198822e+06,1.874130044298643112e+10
2.691534803926726803e+06,1.917784126856258774e+10
2.754228703337971587e+06,1.962455042957524490e+10
2.818382931264253333e+06,2.008166477667012787e+10
2.884031503126399126e+06,2.054942667743843460e+10
2.951209226666172966e+06,2.102808414492236710e+10
3.019951720401796978e+06,2.151789096911383438e+10
3.090295432513364591e+06,2.201910685151610184e+10
3.162277660168146715e+06,2.253199754283981705e+10
3.235936569296042901e+06,2.305683498390630341e+10
3.311311214825663716e+06,2.359389744983286667e+10
3.388441561391770840e+06,2.414346969757661819e+10
3.467368504525054246e+06,2.470584311691494751e+10
3.548133892335484736e+06,2.528131588494272232e+10
3.630780547700735275e+06,2.587019312416822052e+10
3.715352290971438866e+06,2.647278706429142761e+10
3.801893963205317035e+06,2.708941720775071335e+10
3.890451449942502193e+06,2.772041049912537766e+10
3.981071705534659792e+06,2.836610149848421860e+10
4.073802778040805366e+06,2.902683255877164078e+10
4.168693834703022614e+06,2.970295400732577133e+10
4.265795188015584834e+06,3.039482433162434006e+10
4.365158322401308455e+06,3.110281036935741806e+10
4.466835921509269625e+06,3.182728750292710114e+10
4.570881896148378029e+06,3.256863985847786713e+10
4.677351412871598266e+06,3.332726050956259918e+10
4.786300923225988634e+06,3.410355168555289841e+10
4.897788193684055470e+06,3.489792498490338898e+10
5.011872336272304878e+06,3.571080159338370514e+10
5.128613839913218282e+06,3.654261250739379120e+10
5.248074602497283369e+06,3.739379876248049164e+10
5.370317963702071458e+06,3.826481166717710876e+10
